Level,Name,Rating,Class,Tags,Url
Level 230,The Port of Misgivings,31.0,sd-class-3,"['_non-cc', 'aquatic', 'level', 'sd-class-3', 'urban']",http://backrooms-wiki.wikidot.com/Level 230
Level 231,The City of Resources,30.0,,"['_wp-titles', 'canonicon2024', 'desert', 'industrialization-canon', 'level', 'mystery', 'urban']",http://backrooms-wiki.wikidot.com/Level 231
Level 232,“The Antique Store”,20.0,,"['_experiment', '_wp-titles', 'infinite', 'level', 'nostalgia']",http://backrooms-wiki.wikidot.com/Level 232
Level 233,Lukewarm Hotel,58.0,sd-class-0,"['_cc', '_licensebox', 'aquatic', 'dead-end', 'interior', 'level', 'nostalgia', 'sd-class-0', 'wonder']",http://backrooms-wiki.wikidot.com/Level 233
Level 234,Detention Dimension,38.0,sd-class-other,"['_cc', '_licensebox', '_wp-titles', 'exterior', 'level', 'm.e.g.', 'multiverse-canon', 'mystery', 'sd-class-other', 'wonder']",http://backrooms-wiki.wikidot.com/Level 234
Level 235,The Infinite Trampoline Park,24.0,sd-class-5,"['_wp-titles', 'level', 'm.e.g.', 'sd-class-5']",http://backrooms-wiki.wikidot.com/Level 235
Level 236,Puzzle Box Of Mysteries,28.0,,"['co-authored', 'level', 'the-pantheon', 'wholesome']",http://backrooms-wiki.wikidot.com/Level 236
Level 237,The Company Town,27.0,sd-class-deadzone,"['_cc', '_licensebox', '_wp-titles', 'bittersweet', 'desert', 'format-screw', 'level', 'nostalgia', 'sd-class-deadzone']",http://backrooms-wiki.wikidot.com/Level 237
Level 238,Road Rage!,45.0,sd-class-other,"['_wp-titles', 'level', 'roadway', 'sd-class-other', 'thriller', 'vehicular-level']",http://backrooms-wiki.wikidot.com/Level 238
Level 239,The Exitway Anomaly,26.0,sd-class-?,"['level', 'sd-class-?']",http://backrooms-wiki.wikidot.com/Level 239
Level 240,Lotka Lake,32.0,sd-class-1,"['_cc', 'forested', 'level', 'mystery', 'sd-class-1', 'wholesome', 'wonder']",http://backrooms-wiki.wikidot.com/Level 240
Level 241,All Dogs Go To…,44.0,sd-class-1,"['_licensebox', '_non-cc', 'commercial', 'level', 'nostalgia', 'sd-class-1']",http://backrooms-wiki.wikidot.com/Level 241
Level 242,The Fields of Rot,42.0,sd-class-other,"['_wp-titles', 'horror', 'level', 'sd-class-other']",http://backrooms-wiki.wikidot.com/Level 242
Level 243,Nothing at all,24.0,sd-class-?,"['_non-cc', 'level', 'mystery', 'sd-class-?', 'wonder']",http://backrooms-wiki.wikidot.com/Level 243
Level 244,Monsignor's Illusion,24.0,sd-class-pending,"['_wp-titles', 'interior', 'level', 'sd-class-pending']",http://backrooms-wiki.wikidot.com/Level 244
Level 245,They Can't Hear You,17.0,sd-class-2,"['_licensebox', '_wp-titles', 'interior', 'level', 'sd-class-2']",http://backrooms-wiki.wikidot.com/Level 245
Level 246,Dinosaur Alley,44.0,sd-class-other,"['_licensebox', '_wp-titles', 'annual-feature', 'b.n.t.g.', 'exterior', 'featured', 'level', 'm.e.g.', 'multiverse-canon', 'mystery', 'sd-class-other', 'wonder']",http://backrooms-wiki.wikidot.com/Level 246
Level 247,The Weald,15.0,sd-class-3,"['_licensebox', '_wp-titles', 'forested', 'level', 'sd-class-3']",http://backrooms-wiki.wikidot.com/Level 247
Level 248,Parked in the Unforseen,28.0,sd-class-4,"['_licensebox', '_wp-titles', 'classicon2023', 'commercial', 'in-rewrite', 'infinite', 'level', 'sd-class-4']",http://backrooms-wiki.wikidot.com/Level 248
Level 249,Your Funeral,45.0,sd-class-1,"['_cc', '_licensebox', '_wp-titles', 'bittersweet', 'featured', 'finite', 'forested', 'level', 'sd-class-1']",http://backrooms-wiki.wikidot.com/Level 249
Level 250,The Field of Two Stars,64.0,sd-class-habitable,"['_cc', '_licensebox', '_wp-titles', 'bittersweet', 'format-screw', 'level', 'nostalgia', 'sd-class-habitable', 'sd-class-other']",http://backrooms-wiki.wikidot.com/Level 250
Level 251,Love Ride,29.0,sd-class-2,"['_licensebox', 'featured', 'interior', 'level', 'sd-class-2']",http://backrooms-wiki.wikidot.com/Level 251
Level 252,Totally Symmetrical,29.0,sd-class-3,"['_cc', 'horror', 'level', 'mystery', 'nostalgia', 'sd-class-3']",http://backrooms-wiki.wikidot.com/Level 252
Level 253,The 5 Stores,12.0,sd-class-4,"['_licensebox', '_wp-titles', 'action', 'classicon2023', 'horror', 'level', 'nostalgia', 'sd-class-4']",http://backrooms-wiki.wikidot.com/Level 253
Level 254,Blue Heaven,24.0,sd-class-other,"['horror', 'level', 'sd-class-other', 'sdcon2020']",http://backrooms-wiki.wikidot.com/Level 254
Level 255,Death Factory,12.0,sd-class-2,"['_licensebox', 'horror', 'industrial', 'level', 'mystery', 'sd-class-2']",http://backrooms-wiki.wikidot.com/Level 255
Level 256,Demoscene,154.0,sd-class-pending,"['_cc', 'contest-winner', 'format-screw', 'horror', 'interior', 'level', 'sd-class-pending', 'sdcon2020']",http://backrooms-wiki.wikidot.com/Level 256
Level 257,Violet Tones of the Sunset,48.0,sd-class-other,"['bittersweet', 'level', 'mystery', 'sd-class-other']",http://backrooms-wiki.wikidot.com/Level 257
Level 258,The Rug Room,22.0,sd-class-other,"['_wp-titles', 'horror', 'interior', 'level', 'mystery', 'sd-class-other']",http://backrooms-wiki.wikidot.com/Level 258
Level 259,The Body,33.0,sd-class-0,"['_metatag', 'level', 'sd-class-0']",http://backrooms-wiki.wikidot.com/Level 259
Level 260,Aurora Liminalis,41.0,sd-class-0,"['_cc', '_licensebox', 'arctic', 'desert', 'level', 'sd-class-0', 'wonder']",http://backrooms-wiki.wikidot.com/Level 260
Level 261,The Platform,37.0,sd-class-other,"['_cc', 'eyes-of-argos', 'level', 'sd-class-other', 'traveling']",http://backrooms-wiki.wikidot.com/Level 261
level-262,,29.0,,['level'],http://backrooms-wiki.wikidot.com/level-262
Level 263,Untextured,159.0,sd-class-pending,"['_metatag', '_non-cc', 'enigmatic-level', 'format-screw', 'horror', 'level', 'mystery', 'sd-class-pending', 'wonder']",http://backrooms-wiki.wikidot.com/Level 263
Level 264,Barnaby Bun's Fun Emporium,62.0,sd-class-other,"['_cc', '_licensebox', '_metatag', 'level', 'mystery', 'sd-class-other']",http://backrooms-wiki.wikidot.com/Level 264
Level 265,The Mountain Village,31.0,sd-class-2,"['_cc', '_licensebox', 'horror', 'level', 'mystery', 'sd-class-2']",http://backrooms-wiki.wikidot.com/Level 265
Level 266,GROUND(UP),33.0,sd-class-other,"['forested', 'level', 'sd-class-other']",http://backrooms-wiki.wikidot.com/Level 266
Level 267,A home for us?,20.0,,"['_licensebox', 'exterior', 'level']",http://backrooms-wiki.wikidot.com/Level 267
Level 268,The Bath Room,32.0,sd-class-?,"['_cc', '_licensebox', 'level', 'sd-class-?', 'traveling']",http://backrooms-wiki.wikidot.com/Level 268
Level 269,Dogs in the Moonlight,11.0,sd-class-3,"['_licensebox', '_wp-titles', 'level', 'sd-class-3']",http://backrooms-wiki.wikidot.com/Level 269
Level 270,Red World,30.0,,"['_cc', 'exterior', 'level']",http://backrooms-wiki.wikidot.com/Level 270
Level 271,Level Achromatomaly,16.0,sd-class-0,"['_metatag', '_wp-titles', 'backrooms-robotics', 'level', 'mystery', 'sd-class-0', 'wonder']",http://backrooms-wiki.wikidot.com/Level 271
Level 272,Level Achromatopsia,39.0,sd-class-0,"['_wp-titles', 'backrooms-robotics', 'horror', 'level', 'mystery', 'sd-class-0']",http://backrooms-wiki.wikidot.com/Level 272
Level 273,Riddle Shafts,27.0,sd-class-?,"['_metatag', '_non-cc', 'horror', 'level', 'mystery', 'sd-class-?']",http://backrooms-wiki.wikidot.com/Level 273
Level 274,Jerry's Room,46.0,sd-class-1,"['_cc', '_wp-titles', 'father-bluebird', 'foj', 'level', 'mystery', 'rewritten', 'sd-class-1', 'wonder']",http://backrooms-wiki.wikidot.com/Level 274
Level 275,Parkson's Elevator,20.0,sd-class-other,"['_licensebox', '_wp-titles', 'level', 'sd-class-other']",http://backrooms-wiki.wikidot.com/Level 275
Level 276,The Hive,46.0,sd-class-5,"['_metatag', '_non-cc', '_wp-titles', 'horror', 'level', 'mystery', 'sd-class-5']",http://backrooms-wiki.wikidot.com/Level 276
Level 277,Securitus Site,29.0,sd-class-?,"['_cc', '_licensebox', 'horror', 'industrial', 'level', 'm.e.g.', 'mystery', 'sd-class-?']",http://backrooms-wiki.wikidot.com/Level 277
Level 278,Hermeticism: The Corpse of a Thousand Houses,32.0,sd-class-other,"['_ai-non-cc', '_metatag', 'horror', 'level', 'sd-class-other']",http://backrooms-wiki.wikidot.com/Level 278
Level 279,The Bloodcurdling Nightmare,26.0,sd-class-other,"['_cc', '_wp-titles', 'horror', 'mystery', 'room', 'scrapcon2022', 'sd-class-other']",http://backrooms-wiki.wikidot.com/Level 279
Level 280,Foggy Staircases,29.0,sd-class-2,"['_cc', '_licensebox', '_metatag', 'exterior', 'level', 'sd-class-2']",http://backrooms-wiki.wikidot.com/Level 280
Level 281,To Keep Loneliness at Bay,14.0,sd-class-0,"['_licensebox', 'level', 'sd-class-0']",http://backrooms-wiki.wikidot.com/Level 281
Level 282,The Mariner,22.0,sd-class-other,"['aquatic', 'horror', 'level', 'sd-class-other', 'vehicular-level']",http://backrooms-wiki.wikidot.com/Level 282
Level 283,PlayLand,72.0,sd-class-3,"['_cc', 'b.n.t.g.', 'horror', 'level', 'nostalgia', 'sd-class-3', 'wonder']",http://backrooms-wiki.wikidot.com/Level 283
Level 284,Desert Oasis Decimation Paradise,10.0,,"['_licensebox', 'horror', 'level', 'mystery']",http://backrooms-wiki.wikidot.com/Level 284
Level 285,The Keratin Rift,50.0,,"['_ai-non-cc', '_metatag', '_wp-titles', 'bittersweet', 'level', 'mystery', 'wonder']",http://backrooms-wiki.wikidot.com/Level 285
Level 286,The Electroscape,20.0,sd-class-3,"['_cc', '_metatag', '_wp-titles', 'horror', 'level', 'mystery', 'nostalgia', 'sd-class-3', 'wonder']",http://backrooms-wiki.wikidot.com/Level 286
Level 287,Glitched Halls,62.0,sd-class-2,"['_cc', '_licensebox', '_metatag', 'level', 'mystery', 'nostalgia', 'rewritten', 'sd-class-2', 'wonder']",http://backrooms-wiki.wikidot.com/Level 287
Level 288,The Well,14.0,sd-class-?,"['_cc', '_licensebox', '_wp-titles', 'level', 'mystery', 'sd-class-?', 'traveling']",http://backrooms-wiki.wikidot.com/Level 288
Level 289,Overflow,172.0,sd-class-4,"['_cc', '_licensebox', '_metatag', 'annual-feature', 'enigmatic-level', 'featured', 'format-screw', 'horror', 'level', 'mystery', 'rewritten', 'sd-class-4', 'wonder']",http://backrooms-wiki.wikidot.com/Level 289
Level 290,Multiplex,36.0,sd-class-0,"['_cc', '_wp-titles', 'comedy', 'level', 'nostalgia', 'sd-class-0']",http://backrooms-wiki.wikidot.com/Level 290
Level 291,Lost at Sea,32.0,sd-class-2,"['_cc', '_licensebox', 'level', 'mystery', 'sd-class-2', 'vehicular-level']",http://backrooms-wiki.wikidot.com/Level 291
Level 292,Digital Nostalgia,5.0,sd-class-4,"['in-rewrite', 'level', 'sd-class-4']",http://backrooms-wiki.wikidot.com/Level 292
Level 293,Alpha,17.0,sd-class-1,"['_non-cc', '_wp-titles', 'horror', 'level', 'mystery', 'sd-class-1', 'wonder']",http://backrooms-wiki.wikidot.com/Level 293
Level 294,The Liminary Theatre,42.0,,"['_cc', 'evangeline-holmes', 'horror', 'level', 'masked-maidens', 'mystery', 'spookycon2021', 'tragedy', 'unmasked-canon']",http://backrooms-wiki.wikidot.com/Level 294
Level 295,The Plague,27.0,sd-class-2,"['_cc', '_licensebox', 'forested', 'level', 'sd-class-2']",http://backrooms-wiki.wikidot.com/Level 295
Level 296,The SpaceScape,15.0,sd-class-other,"['_cc', '_wp-titles', 'level', 'mystery', 'overseer-stretch', 'sd-class-other', 'wonder']",http://backrooms-wiki.wikidot.com/Level 296
Level 298,Winter Playpark,26.0,sd-class-2,"['_cc', '_licensebox', '_metatag', 'arctic', 'exterior', 'level', 'sd-class-2', 'thriller']",http://backrooms-wiki.wikidot.com/Level 298
Level 299,Westminster Alley,28.0,sd-class-1,"['_cc', 'level', 'roadway', 'sd-class-1']",http://backrooms-wiki.wikidot.com/Level 299
Level 300,The Boardwalks to the Rainbow,70.0,sd-class-2,"['_cc', '_licensebox', 'forested', 'level', 'nostalgia', 'sd-class-2', 'wonder']",http://backrooms-wiki.wikidot.com/Level 300
Level 302,False Sublime,32.0,sd-class-other,"['_cc', '_licensebox', 'forested', 'level', 'm.e.g.', 'sd-class-other', 'wonder']",http://backrooms-wiki.wikidot.com/Level 302
Level 303,Dreamy Waves,14.0,,"['_cc', '_licensebox', 'aquatic', 'level']",http://backrooms-wiki.wikidot.com/Level 303
Level 304,Las Panaderias,32.0,sd-class-other,"['_cc', '_licensebox', 'level', 'sd-class-other']",http://backrooms-wiki.wikidot.com/Level 304
Level 305,The Descent into Darkness,15.0,sd-class-5,"['_licensebox', '_wp-titles', 'co-authored', 'forested', 'level', 'sd-class-5']",http://backrooms-wiki.wikidot.com/Level 305
Level 309,The Fog and The Path,15.0,sd-class-2,"['_cc', '_licensebox', '_wp-titles', 'forested', 'level', 'scrapcon2022', 'sd-class-2']",http://backrooms-wiki.wikidot.com/Level 309
Level 313,Vitrum Madness,27.0,sd-class-3,"['interior', 'level', 'mystery', 'sd-class-3', 'wonder']",http://backrooms-wiki.wikidot.com/Level 313
Level 315,FRIGHTFUL FABLES,37.0,sd-class-other,"['_wp-titles', 'forested', 'horror', 'level', 'mystery', 'sd-class-other', 'thriller', 'wonder']",http://backrooms-wiki.wikidot.com/Level 315
Level 317,Neon Shuffle,65.0,sd-class-other,"['_cc', '_wp-titles', 'industrial', 'level', 'sd-class-other']",http://backrooms-wiki.wikidot.com/Level 317
Level 321,Infinite Art Studio,19.0,sd-class-4,"['_cc', 'action', 'interior', 'level', 'mystery', 'sd-class-4']",http://backrooms-wiki.wikidot.com/Level 321
Level 322,Unrecognized Landscape,30.0,sd-class-other,"['_cc', 'interior', 'level', 'rewritten', 'sd-class-other', 'thriller']",http://backrooms-wiki.wikidot.com/Level 322
Level 324,The Purple Rooms,23.0,,"['format-screw', 'homelike', 'level', 'mystery', 'nostalgia']",http://backrooms-wiki.wikidot.com/Level 324
Level 326,Seared Frontier,33.0,,"['_wp-titles', 'canonicon2024', 'contest-winner', 'decay-canon', 'level', 'room', 'tragedy']",http://backrooms-wiki.wikidot.com/Level 326
Level 327,Joint Operation,20.0,sd-class-2,"['_wp-titles', 'homelike', 'level', 'sd-class-2']",http://backrooms-wiki.wikidot.com/Level 327
Level 330,A Stroke of Colour,42.0,sd-class-other,"['_cc', '_licensebox', 'level', 'sd-class-other']",http://backrooms-wiki.wikidot.com/Level 330
Level 333,Roomception,42.0,sd-class-1,"['_cc', '_licensebox', 'finite', 'interior', 'level', 'mystery', 'sd-class-1', 'wonder']",http://backrooms-wiki.wikidot.com/Level 333
Level 335,Wake Up.,16.0,sd-class-other,"['_image', '_licensebox', 'level', 'sd-class-other']",http://backrooms-wiki.wikidot.com/Level 335
Level 340,The Worst Hoax Ever Organized,42.0,,"['_wp-titles', 'level', 'mystery']",http://backrooms-wiki.wikidot.com/Level 340
Level 345,Liminal Forest,49.0,sd-class-1,"['_cc', '_licensebox', '_wp-titles', 'commercial', 'exterior', 'immaterial', 'level', 'multiverse-canon', 'mystery', 'sd-class-1', 'wonder']",http://backrooms-wiki.wikidot.com/Level 345
Level 350,Day Zero,18.0,sd-class-1,"['level', 'sd-class-1']",http://backrooms-wiki.wikidot.com/Level 350
level-352,Speak No Evil,41.0,sd-class-other,"['_cc', '_licensebox', '_wp-titles', 'industrial', 'level', 'mystery', 'sd-class-other']",http://backrooms-wiki.wikidot.com/level-352
Level 353,Clement's Public Private Swimming Pool,40.0,sd-class-1,"['level', 'sd-class-1', 'tragedy']",http://backrooms-wiki.wikidot.com/Level 353
Level 356,Twisted Halls,12.0,sd-class-1,"['_licensebox', '_non-cc', 'interior', 'level', 'nostalgia', 'sd-class-1']",http://backrooms-wiki.wikidot.com/Level 356
Level 356.1,The Writings on the Wall,38.0,,"['_licensebox', 'bittersweet', 'co-authored', 'collaborative', 'contest-winner', 'slcon2024', 'sub-level']",http://backrooms-wiki.wikidot.com/Level 356.1
Level 360,The Road of Nothing and Everything,54.0,sd-class-5,"['_cc', '_licensebox', 'level', 'mystery', 'roadway', 'sd-class-5', 'sd-class-other', 'wonder']",http://backrooms-wiki.wikidot.com/Level 360
level-363,,32.0,,"['_licensebox', '_metatag', 'annual-feature', 'classicon2023', 'contest-winner', 'format-screw', 'homelike', 'interior', 'level', 'mystery', 'tragedy']",http://backrooms-wiki.wikidot.com/level-363
Level 365,Your Worst Enemy,88.0,sd-class-3,"['_cc', '_licensebox', '_wp-titles', 'featured', 'horror', 'interior', 'level', 'm.e.g.', 'multiverse-canon', 'nostalgia', 'sd-class-3']",http://backrooms-wiki.wikidot.com/Level 365
Level 368,Superfluity,27.0,sd-class-3,"['_ai-non-cc', 'interior', 'level', 'sd-class-3']",http://backrooms-wiki.wikidot.com/Level 368
Level 369,Comely,41.0,sd-class-habitable,"['_ai-non-cc', 'level', 'sd-class-habitable']",http://backrooms-wiki.wikidot.com/Level 369
Level 370,The Pool Rooms,34.0,sd-class-other,"['_licensebox', '_wp-titles', 'commercial', 'level', 'sd-class-other', 'simulation-canon']",http://backrooms-wiki.wikidot.com/Level 370
Level 371,Despondency,31.0,sd-class-0,"['_ai-non-cc', 'level', 'sd-class-0']",http://backrooms-wiki.wikidot.com/Level 371
Level 372,Soporous,16.0,sd-class-1,"['_cc', 'level', 'mystery', 'sd-class-1']",http://backrooms-wiki.wikidot.com/Level 372
Level 374,The Overgrowth,27.0,sd-class-other,"['cavern', 'level', 'sd-class-other']",http://backrooms-wiki.wikidot.com/Level 374
Level 386,The Alleys,11.0,sd-class-4,"['level', 'sd-class-4']",http://backrooms-wiki.wikidot.com/Level 386
Level 387,The Fog Precinct,31.0,sd-class-0,"['_cc', '_licensebox', '_wp-titles', 'bittersweet', 'horror', 'level', 'mystery', 'sd-class-0']",http://backrooms-wiki.wikidot.com/Level 387
Level 388,The Harvest Project,32.0,,"['_cc', '_licensebox', '_metatag', '_wp-titles', 'canonicon2024', 'forested', 'horror', 'industrialization-canon', 'level']",http://backrooms-wiki.wikidot.com/Level 388
Level 389,The Gaming Hall,21.0,,"['level', 'rewritten', 'the-game-master', 'the-pantheon']",http://backrooms-wiki.wikidot.com/Level 389
Level 395,Do you still remember?,43.0,sd-class-other,"['format-screw', 'homelike', 'level', 'sd-class-other']",http://backrooms-wiki.wikidot.com/Level 395
Level 399,Safe Passage,32.0,sd-class-1,"['_cc', '_licensebox', 'level', 'sd-class-1', 'vehicular-level', 'wholesome']",http://backrooms-wiki.wikidot.com/Level 399
Level 400,M1nd is s0ftwar3,55.0,sd-class-other,"['_cc', 'industrial', 'interior', 'level', 'mystery', 'sd-class-other']",http://backrooms-wiki.wikidot.com/Level 400
Level 401,Choices,15.0,,"['format-screw', 'horror', 'level', 'mystery']",http://backrooms-wiki.wikidot.com/Level 401
Level 402,Plastic City,28.0,,"['_licensebox', 'classicon2023', 'deceptive', 'interior', 'level', 'mystery']",http://backrooms-wiki.wikidot.com/Level 402
Level 403,ACCESS DENIED,19.0,sd-class-habitable,"['_licensebox', '_wp-titles', 'level', 'sd-class-habitable']",http://backrooms-wiki.wikidot.com/Level 403
Level 404,my dearly fragmented,376.0,sd-class-0,"['_cc', '_licensebox', 'format-screw', 'level', 'mystery', 'nostalgi-gaius', 'sd-class-0']",http://backrooms-wiki.wikidot.com/Level 404
Level 405,"The Wave of Despair, Dread, and Desolation, Littered with Disillusioned Souls",22.0,,"['_cc', '_licensebox', 'aquatic', 'dead-end', 'level', 'wonder']",http://backrooms-wiki.wikidot.com/Level 405
Level 408,The Info Room,13.0,,"['_licensebox', 'comedy', 'level']",http://backrooms-wiki.wikidot.com/Level 408
Level 409,The Paper-Rooms,39.0,sd-class-1,"['_non-cc', 'interior', 'level', 'nostalgia', 'sd-class-1', 'wonder']",http://backrooms-wiki.wikidot.com/Level 409
Level 410,A Perfectly Normal Mansion,25.0,sd-class-1,"['_cc', 'homelike', 'level', 'nostalgia', 'sd-class-1']",http://backrooms-wiki.wikidot.com/Level 410
Level 410.1,A Perfectly Abnormal Basement,22.0,,"['featured', 'level', 'slcon2024']",http://backrooms-wiki.wikidot.com/Level 410.1
Level 414,Hortus Aeturnus,78.0,sd-class-habitable,"['_cc', '_licensebox', 'annual-feature', 'exterior', 'featured', 'forested', 'level', 'sd-class-habitable']",http://backrooms-wiki.wikidot.com/Level 414
Level 415,Forest Trail,23.0,sd-class-1,"['forested', 'level', 'roadway', 'sd-class-1']",http://backrooms-wiki.wikidot.com/Level 415
Level 420,The Frozen Lake,83.0,sd-class-other,"['_cc', 'arctic', 'horror', 'level', 'mystery', 'sd-class-other', 'wonder']",http://backrooms-wiki.wikidot.com/Level 420
Level 421,Plastic Mariana,36.0,sd-class-?,"['_licensebox', '_wp-titles', 'horror', 'level', 'sd-class-?']",http://backrooms-wiki.wikidot.com/Level 421
Level 422,To Be At Sea,46.0,sd-class-2,"['_cc', '_licensebox', '_wp-titles', 'aquatic', 'level', 'sd-class-2']",http://backrooms-wiki.wikidot.com/Level 422
Level 422.1,Reflections,50.0,,"['aquatic', 'co-authored', 'contest-winner', 'exterior', 'level', 'slcon2024', 'sub-level']",http://backrooms-wiki.wikidot.com/Level 422.1
Level 423,The Gas Station,19.0,sd-class-?,"['_cc', '_licensebox', 'level', 'mystery', 'nostalgia', 'sd-class-?']",http://backrooms-wiki.wikidot.com/Level 423
Level 427,Woodrooms,34.0,sd-class-other,"['_licensebox', '_wp-titles', 'level', 'mystery', 'rewritten', 'sd-class-other']",http://backrooms-wiki.wikidot.com/Level 427
Level 432,The Looping Basement,20.0,sd-class-4,"['_cc', 'horror', 'level', 'mystery', 'sd-class-4']",http://backrooms-wiki.wikidot.com/Level 432
Level 436,Salvaged Seaboard,33.0,sd-class-habitable,"['_cc', '_licensebox', 'featured', 'level', 'sd-class-habitable']",http://backrooms-wiki.wikidot.com/Level 436
Level 440,Boiling Desert,70.0,sd-class-other,"['_cc', '_licensebox', 'level', 'sd-class-other']",http://backrooms-wiki.wikidot.com/Level 440
Level 444,The Level Without Form,62.0,sd-class-5,"['_cc', '_licensebox', 'horror', 'level', 'mystery', 'nostalgia', 'sd-class-5', 'simulation-canon']",http://backrooms-wiki.wikidot.com/Level 444
Level 445,Happy and Chipper,23.0,sd-class-?,"['_licensebox', '_wp-titles', 'forested', 'level', 'rewritten', 'sd-class-?']",http://backrooms-wiki.wikidot.com/Level 445
Level 448,Penitentiary,41.0,sd-class-0,"['_cc', '_wp-titles', 'horror', 'level', 'mystery', 'sd-class-0']",http://backrooms-wiki.wikidot.com/Level 448
level-451,A Picture of The Past,24.0,sd-class-4,"['bittersweet', 'field', 'level', 'sd-class-4', 'the-reverence']",http://backrooms-wiki.wikidot.com/level-451
Level 456,Midnight Glacier,49.0,sd-class-other,"['_cc', '_wp-titles', 'horror', 'level', 'mystery', 'sd-class-other']",http://backrooms-wiki.wikidot.com/Level 456
Level 458,Papa Pedro's Pizza Palace of Pleasantries,32.0,,"['_cc', '_licensebox', 'level']",http://backrooms-wiki.wikidot.com/Level 458
Level 463,The Concrete Wastes,38.0,sd-class-other,"['_cc', '_licensebox', 'horror', 'level', 'sd-class-other']",http://backrooms-wiki.wikidot.com/Level 463
Level 466,Firelit Longing,37.0,,"['_cc', '_licensebox', 'level', 'u.e.c.']",http://backrooms-wiki.wikidot.com/Level 466
Level 469,The Bluebonnet Fields,19.0,sd-class-0,"['_licensebox', 'field', 'level', 'nostalgia', 'sd-class-0']",http://backrooms-wiki.wikidot.com/Level 469
Level 470,Memory with you,15.0,sd-class-habitable,"['_licensebox', '_wp-titles', 'classicon2023', 'homelike', 'level', 'sd-class-habitable', 'wonder']",http://backrooms-wiki.wikidot.com/Level 470
Level 474,National Park #474,45.0,sd-class-?,"['_cc', '_licensebox', 'arctic', 'dead-end', 'forested', 'gift2021', 'level', 'mystery', 'sd-class-?']",http://backrooms-wiki.wikidot.com/Level 474
Level 479,ME AFTER THE LOBOTOMY 😂😂❗❗😂❗❗❗,23.0,sd-class-5,"['horror', 'level', 'sd-class-5']",http://backrooms-wiki.wikidot.com/Level 479
Level 480,Inconvenience Store,44.0,sd-class-3,"['_cc', 'level', 'nostalgia', 'sd-class-3']",http://backrooms-wiki.wikidot.com/Level 480
Level 481,The Code,86.0,sd-class-other,"['_cc', '_metatag', '_wp-titles', 'backrooms-remodeling-co', 'horror', 'level', 'mystery', 'sd-class-other', 'wonder']",http://backrooms-wiki.wikidot.com/Level 481
Level 482,The Whisper,34.0,sd-class-4,"['_cc', '_wp-titles', 'horror', 'kalag', 'level', 'mystery', 'sd-class-4', 'wonder']",http://backrooms-wiki.wikidot.com/Level 482
Level 483,The Moreover,35.0,,"['_cc', '_wp-titles', 'format-screw', 'level', 'mystery', 'overseer-stretch', 'wonder']",http://backrooms-wiki.wikidot.com/Level 483
Level 484,The Whiteout,57.0,sd-class-0,"['_cc', '_licensebox', '_wp-titles', 'level', 'mystery', 'nostalgia', 'sd-class-0', 'wonder']",http://backrooms-wiki.wikidot.com/Level 484
Level 484.1,The White Room,33.0,,"['_licensebox', '_wp-titles', 'featured', 'level', 'sub-level']",http://backrooms-wiki.wikidot.com/Level 484.1
Level 485,The Blackout,43.0,sd-class-5,"['_cc', '_metatag', 'horror', 'level', 'mystery', 'sd-class-5', 'wonder']",http://backrooms-wiki.wikidot.com/Level 485
level-486,,65.0,sd-class-other,"['_cc', '_licensebox', '_metatag', '_wp-titles', 'eyes-of-argos', 'horror', 'level', 'mystery', 'sd-class-other', 'tragedy']",http://backrooms-wiki.wikidot.com/level-486
Level 494,Mirror Lake High School,53.0,sd-class-?,"['_cc', 'forested', 'level', 'mystery', 'nostalgia', 'sd-class-?']",http://backrooms-wiki.wikidot.com/Level 494
Level 495,Trade in your coins for eyes.,46.0,sd-class-1,"['_cc', 'bittersweet', 'exterior', 'level', 'sd-class-1']",http://backrooms-wiki.wikidot.com/Level 495
Level 499,Terrestrial Paradise,40.0,sd-class-1,"['_cc', 'amor-incrementum', 'cavern', 'co-authored', 'goicon2021', 'level', 'mystery', 'sd-class-1']",http://backrooms-wiki.wikidot.com/Level 499
Level 500,Subcarrier,63.0,sd-class-0,"['_cc', 'featured', 'level', 'mystery', 'sd-class-0', 'thriller', 'vehicular-level']",http://backrooms-wiki.wikidot.com/Level 500
Level 501,Impaired Vision,32.0,sd-class-other,"['level', 'sd-class-other']",http://backrooms-wiki.wikidot.com/Level 501
Level 502,Soul Servers,21.0,sd-class-2,"['_cc', 'goicon2021', 'industrial', 'level', 'sd-class-2']",http://backrooms-wiki.wikidot.com/Level 502
Level 503,!!THIS PAGE DOES NOT EXIST YET!!,105.0,sd-class-other,"['_cc', 'format-screw', 'level', 'mystery', 'sd-class-other']",http://backrooms-wiki.wikidot.com/Level 503
level-505,,47.0,sd-class-3,"['backrooms-robotics', 'featured', 'finite', 'horror', 'industrial', 'interior', 'level', 'sd-class-3', 'vehicular-level']",http://backrooms-wiki.wikidot.com/level-505
Level 511,Epidemic Epicentre,26.0,sd-class-5,"['_licensebox', '_wp-titles', 'classicon2023', 'level', 'sd-class-5', 'simulation-canon']",http://backrooms-wiki.wikidot.com/Level 511
Level 512,LEVEL_TEMPLATE,120.0,sd-class-1,"['_cc', '_licensebox', 'featured', 'finite', 'format-screw', 'homelike', 'horror', 'level', 'mystery', 'sd-class-1']",http://backrooms-wiki.wikidot.com/Level 512
